"TIEMPO, HRS",LECTURA CABEZA,,"TIEMPOS, HRS",LECTURA LINEA,,,DATOS PARA LA MEDICIÓN,,,,"INTER TIME, HRS",INTER LECTURA CABEZA,INTER LECTURA LINEA,,"GASTO, MMPCD",,PRESIÓN CABEZA,PRESIÓN LINEA,Delta P,,,,,,,,,"GASTO PROMEDIO,  MMPCD"
6.947346177,7.125209179,,7.000224288,8.496354839,,,,,,,7.000224288,7.127620217,8.496354839,,0.739048667,,1016.059399,721.8804556,294.1789436,,,,,,,,,
7.001255544,7.127667238,,7.07324233,8.5117145,,,,,,,7.07324233,7.131855279,8.5117145,,0.738092093,,1017.267195,724.4928374,292.7743571,,,,,,,,,
7.078931499,7.132186263,,7.132476521,8.50704603,,,,,,,7.132476521,7.131447991,8.50704603,,0.738753434,,1017.151009,723.6983215,293.4526874,,,,,,,,,
7.142284542,7.131312759,,7.200304804,8.494451052,,,,,,,7.200304804,7.130507914,8.494451052,,0.74059446,,1016.882862,721.5569868,295.3258754,,,,,,,,,
7.205657549,7.130433662,,7.259404048,8.49073171,,,,,,,7.259404048,7.118318618,8.49073171,,0.736151699,,1013.409199,720.9252498,292.4839491,,,,,,,,,
7.265317923,7.116985566,,7.326453603,8.486062662,,,,,,,7.326453603,7.122177988,8.486062662,,0.738593908,,1014.508386,720.1325951,294.3757907,,,,,,,,,
7.327991733,7.122308625,,7.387454434,8.50299982,,,,,,,7.387454434,7.236878005,8.50299982,,0.783354903,,1047.448065,723.0100593,324.438006,,,,,,,,,
7.391484862,7.244643608,,7.443688538,8.490647905,,,,,,,7.443688538,7.294999842,8.490647905,,0.809316384,,1064.340454,720.9110185,343.4294355,,,,,,,,,
7.45094684,7.302001279,,7.502225672,8.49322828,,,,,,,7.502225672,7.32248332,8.49322828,,0.820157709,,1072.375239,721.3492662,351.0259732,,,,,,,,,
7.513317749,7.326913772,,7.568680964,8.496665134,,,,,,,7.568680964,7.354769219,8.496665134,,0.832808206,,1081.852605,721.9331841,359.9194212,,,,,,,,,
7.574399775,7.357646582,,7.635063445,8.500116989,,,,,,,7.635063445,7.403533078,8.500116989,,0.852147991,,1096.246041,722.5198882,373.7261524,,,,,,,,,
7.636960894,7.404968324,,7.699550045,8.488406716,,,,,,,7.699550045,7.417281915,8.488406716,,0.859526922,,1100.32142,720.5304858,379.7909344,,,,,,,,,
7.695355212,7.417461558,,7.748247098,8.503829629,,,,,,,7.748247098,7.415196479,8.503829629,,0.856323884,,1099.702777,723.1511835,376.551593,,,,,,,,,
7.751425453,7.415060367,,7.825175839,8.443430928,,,,,,,7.825175839,7.44233629,8.443430928,,0.876363425,,1107.767389,712.9152583,394.8521307,,,,,,,,,
7.820879507,7.443523785,,7.885672666,8.393716428,,,,,,,7.885672666,7.423982026,8.393716428,,0.876243954,,1102.310182,704.5447547,397.7654278,,,,,,,,,
7.884649818,7.425897837,,7.942874093,8.409193105,,,,,,,7.942874093,7.316842785,8.409193105,,0.83099583,,1070.723767,707.1452867,363.57848,,,,,,,,,
7.952935582,7.297997445,,7.998866534,8.410051829,,,,,,,7.998866534,7.288109845,8.410051829,,0.819274291,,1062.330902,707.2897177,355.0411847,,,,,,,,,
8.007785676,7.286189813,,8.07201964,8.409512553,,,,,,,8.07201964,7.274683241,8.409512553,,0.813933349,,1058.420325,707.1990137,351.2213115,,,,,,,,,
8.072903721,7.274524871,,8.136238661,8.413106887,,,,,,,8.136238661,6.145012757,8.413106887,,,,,707.803675,-707.803675,,,,,,,,,
8.141135058,6.05769067,,8.191436359,8.420726025,,,,,,,8.191436359,6.089406282,8.420726025,,,,,709.0862679,-709.0862679,,,,,,,,,
8.197951458,6.093514135,,8.254863611,8.40908027,,,,,,,8.254863611,6.652380395,8.40908027,,,,,707.1263098,-707.1263098,,,,,,,,,
8.260085237,6.703655748,,8.319124148,8.45235866,,,,,,,8.319124148,6.122962935,8.45235866,,,,,714.4236691,-714.4236691,,,,,,,,,
8.328226747,6.033431915,,8.38148729,8.527234042,,,,,,,8.38148729,6.011231044,8.527234042,,,,,727.1372041,-727.1372041,,,,,,,,,
8.393921709,6.00604794,,8.442927492,8.538682403,,,,,,,8.442927492,6.132338535,8.538682403,,,,,729.0909718,-729.0909718,,,,,,,,,
8.452140107,6.156079951,,8.505027445,8.535062433,,,,,,,8.505027445,7.415586421,8.535062433,,0.851651033,,1099.818439,728.4729074,371.3455318,,,,,,,,,
8.506414875,7.448627928,,8.572844199,8.567856522,,,,,,,8.572844199,7.346697679,8.567856522,,0.818042122,,1079.479336,734.0816537,345.3976821,,,,,,,,,
8.571460134,7.347440423,,8.631260587,8.46148153,,,,,,,8.631260587,7.31534916,8.46148153,,0.822279039,,1070.286667,715.9666968,354.3199697,,,,,,,,,
8.636645887,7.312459197,,8.693203849,8.464473052,,,,,,,8.693203849,7.284240671,8.464473052,,0.809125486,,1061.203243,716.4730404,344.7302026,,,,,,,,,
8.70192453,7.279889652,,8.756834269,8.419521363,,,,,,,8.756834269,7.251741666,8.419521363,,0.803065234,,1051.755144,708.8833999,342.8717439,,,,,,,,,
8.756625039,7.251769476,,8.809102507,8.558160744,,,,,,,8.809102507,7.244794251,8.558160744,,0.777270169,,1049.740875,732.4211531,317.3197217,,,,,,,,,
8.821102516,7.243199228,,8.879814575,8.440335948,,,,,,,8.879814575,7.235369241,8.440335948,,0.7930631,,1047.011361,712.3927091,334.618652,,,,,,,,,
8.885774981,7.234574347,,8.948854742,8.466303895,,,,,,,8.948854742,7.210671419,8.466303895,,0.778676541,,1039.875646,716.7830164,323.0926299,,,,,,,,,
8.951935153,7.209504153,,8.997934568,8.510173706,,,,,,,8.997934568,7.203544902,8.510173706,,0.768317516,,1037.821183,724.2305651,313.5906179,,,,,,,,,
8.995421334,7.203650224,,9.071786353,8.543885833,,,,,,,9.071786353,7.20077609,8.543885833,,0.761322459,,1037.023526,729.9798512,307.0436746,,,,,,,,,
9.070765476,7.200492754,,9.132394147,8.545816169,,,,,,,9.132394147,7.21459709,8.545816169,,0.766774577,,1041.008223,730.3097399,310.6984836,,,,,,,,,
9.122812679,7.214937992,,9.192966028,8.547762306,,,,,,,9.192966028,7.212441986,8.547762306,,0.765533368,,1040.386388,730.6424044,309.7439837,,,,,,,,,
9.198004715,7.212262713,,9.25610088,8.534435759,,,,,,,9.25610088,7.211303445,8.534435759,,0.767371906,,1040.057948,728.3659373,311.6920102,,,,,,,,,
9.262355155,7.211200176,,9.324152811,8.544867257,,,,,,,9.324152811,7.215208385,8.544867257,,0.767195354,,1041.184641,730.1475644,311.0370762,,,,,,,,,
9.326019141,7.215329435,,9.386489408,8.53823235,,,,,,,9.386489408,7.204134358,8.53823235,,0.763715848,,1037.991037,729.0141167,308.9769203,,,,,,,,,
9.392111456,7.203093528,,9.445829349,8.547450326,,,,,,,9.445829349,7.206747335,8.547450326,,0.763201737,,1038.744143,730.5890708,308.1550722,,,,,,,,,
9.445168352,7.206533576,,9.499802835,8.539448397,,,,,,,9.499802835,7.22420177,8.539448397,,0.771891853,,1043.781824,729.2217893,314.5600351,,,,,,,,,
9.516243345,7.229518451,,9.569559642,8.542452991,,,,,,,9.569559642,7.228059147,8.542452991,,0.772984449,,1044.896781,729.735031,315.1617496,,,,,,,,,
9.557872513,7.236571199,,9.627478753,8.558874641,,,,,,,9.627478753,7.185875091,8.558874641,,0.752413598,,1032.736017,732.5433512,300.1926654,,,,,,,,,
